party,poster,user_count,post_count
AFD,AfD,62,1146
AFD,"AfD 2013, zurück zu den Wurzeln",1,4
AFD,AFD - Agence Française de Développement,1,2
AFD,Afd Alternative für Deutschland Europawahlen,1,2
AFD,AfD - Alternative für Deutschland / Kreisverband Stendal Karl Hermann Bolldorf,1,1
AFD,AfD-Augsburg-Land,1,1
AFD,AfD Baden-Württemberg,2,9
AFD,AfD Baden-Württemberg Warum Sie AfD wählen sollten!,1,1
AFD,AfD Bayern,1,5
AFD,AfD Berchtesgadener Land,1,1
AFD,AfD Blankenfelde-Mahlow,2,4
AFD,AfD Bonn - Alternative für Deutschland Kreisverband Bonn,1,5
AFD,AfD Brandenburg,2,46
AFD,AfD Brandenburg Bundestagswahl 2021,1,1
AFD,AfD Cloppenburg / Vechta,1,5
AFD,AfD Darmstadt,1,1
AFD,- AfD Eilmeldungen -,2,29
AFD,AfD-Fraktion Brandenburg,1,2
AFD,AfD-Fraktion Dresden,1,3
AFD,AfD-Fraktion im Bayerischen Landtag,1,10
AFD,AfD-Fraktion im Deutschen Bundestag,10,106
AFD,AfD-Fraktion im Hessischen Landtag,1,19
AFD,AfD-Fraktion im Landtag von Baden-Württemberg,1,20
AFD,AfD-Fraktion im Thüringer Landtag,1,3
AFD,AfD-Fraktion in der GVV Birkenwerder,1,1
AFD,AfD-Fraktion Mecklenburg-Vorpommern,1,7
AFD,AfD-Fraktion NRW,2,17
AFD,AfD Fraktion Rathaus Offenbach,1,1
AFD,AfD Fraktion Sachsen,2,25
AFD,AfD-Fraktion Sachsen-Anhalt,1,4
AFD,AfD-Freunde Baden-Württemberg,3,13
AFD,AfD - Freunde Calw/Freudenstadt,1,18
AFD,AfD - Freunde Calw/Freudenstadt AfD Kompakt,1,1
AFD,AfD-Freunde Treptow-Köpenick,1,7
AFD,AfD-Freunde Tübingen,2,2
AFD,AFD Gebietsverband Sonneberg,1,2
AFD,AfD Gelsenkirchen,2,2
AFD,AfD Gifhorn,1,4
AFD,AfD Goch - Stadtverband,1,1
AFD,AfD Greiz-Altenburg,1,3
AFD,AfD Hamburg,2,7
AFD,AfD Hamburg Belal Moschee Hamburg,1,1
AFD,AfD Hamburg Bezirk Bergedorf,1,1
AFD,AfD Hamburg Blaue Moschee an der Alster Hamburg,1,1
AFD,AfD Hamburg Burg Seevetal,1,1
AFD,"AfD Hamburg Hauptbahnhof, Hamburg",1,2
AFD,AfD Hamburg Henstedt-Ulzburg,1,1
AFD,AfD Hamburg-Nord,2,34
AFD,AfD Hamburg Rathaus Hamburg,2,6
AFD,AfD Hamm,1,6
AFD,AfD Hannover Land,1,4
AFD,AfD Hannover-Land-Süd,1,3
AFD,AfD Hessen,1,23
AFD,AfD Heusenstamm,2,24
AFD,AfD im EU-Parlament,10,40
AFD,AfD im Landtag Schleswig-Holstein,2,7
AFD,"AfD-Infoseite, nicht nur für Freunde und Mitglieder in Hessen",1,2
AFD,AfD Kaltenkirchen,1,2
AFD,AfD Kaltenkirchen Kaltenkirchen,1,2
AFD,AfD Kassel-Stadt,1,3
AFD,AfD Kiel,1,1
AFD,AfD Kompakt,8,111
AFD,AfD Kreis Düsseldorf,1,5
AFD,AfD Kreis Pinneberg,1,1
AFD,AfD Kreis Recklinghausen,1,3
AFD,AfD Kreisverband Bad Dürkheim,1,1
AFD,AfD Kreisverband Coesfeld,1,3
AFD,AfD Kreisverband Frankfurt am Main,1,5
AFD,AfD Kreisverband Friesland,1,1
AFD,AfD Kreisverband Germersheim,1,2
AFD,AfD Kreisverband Gießen,1,10
AFD,AfD Kreisverband Göppingen,4,27
AFD,AfD Kreisverband Groß-Gerau und seine Ortsverbände im Kreis,1,1
AFD,AfD Kreisverband Harz,1,1
AFD,AfD Kreisverband Herzogtum Lauenburg,1,2
AFD,AfD Kreisverband Hochtaunus,1,1
AFD,AfD - Kreisverband Krefeld,1,6
AFD,AfD Kreisverband Landsberg am Lech,1,1
AFD,AfD Kreisverband Limburg - Weilburg,1,9
AFD,AFD Kreisverband Main Kinzig,1,1
AFD,AfD Kreisverband Mannheim,1,1
AFD,AfD - Kreisverband Märkisch-Oderland,1,14
AFD,AfD-Kreisverband Neuwied,1,7
AFD,AfD Kreisverband Oberallgäu-Kempten,1,1
AFD,AfD - Kreisverband Oberhavel,1,4
AFD,AfD Kreisverband Plön,1,1
AFD,AfD Kreisverband Ravensburg,1,3
AFD,AfD Kreisverband Salzlandkreis,1,1
AFD,AfD Kreisverband Ulm / Alb-Donau,1,85
AFD,AfD Kreisverband Vogelsberg,1,4
AFD,AfD Kreisverband Waldshut,1,6
AFD,AfD Kreisverband Wittenberg,1,17
AFD,AfD KV Aschaffenburg,2,4
AFD,AfD KV Schwandorf/Cham,2,10
AFD,AfD KV Segeberg,1,2
AFD,AfD Kyffhäuser-Sömmerda-Weimarer Land,4,4
AFD,AfD Landau / Südliche Weinstraße,1,5
AFD,AfD Landeshauptstadt Schwerin,1,1
AFD,AfD - Langenhagen.Garbsen.Seelze,1,1
AFD,AfD Leipzig,1,1
AFD,AfD L.O.,1,4
AFD,AfD Magdeburg,1,5
AFD,AfD Mainz-Bingen,1,3
AFD,AfD Mayen-Koblenz,1,1
AFD,AfD München West/Mitte,1,2
AFD,AfD Niedersachsen,2,16
AFD,AfD Nürnberg,2,16
AFD,AfD Offenbach Land - Alternative für Deutschland,1,7
AFD,AfD Oldenburg Land,1,8
AFD,AfD Ortsverband Altkreis Melsungen,1,5
AFD,AfD Ortsverband Birkenwerder,1,4
AFD,AfD Ortsverband Ettlingen,1,4
AFD,AfD Ortsverband Schmitten,1,1
AFD,AfD OSL,1,1
AFD,AfD-Paderborn,1,8
AFD,AfD-Paderborn Paderborn,1,2
AFD,AfD Passau,1,3
AFD,AfD Regionalverband Unstrut-Hainich-Kreis Ost,1,3
AFD,AfD Rheingau Taunus,1,2
AFD,AfD Rheinisch-Bergischer Kreis,1,1
AFD,AfD Rheinland-Pfalz,4,448
AFD,AfD Rheinland-Pfalz Bundestagswahl 2021,1,2
AFD,AfD Rheinland-Pfalz Neustadt an der Weinstraße,1,3
AFD,AfD Rosenheim Kreisverband,2,19
AFD,AfD Saarland,1,6
AFD,AfD Saarland Stadtverband Friedrichsthal,1,11
AFD,AfD Sachsen,5,23
AFD,AfD Sachsen-Anhalt,3,14
AFD,AfD Schleswig-Holstein,1,2
AFD,AfD SOE,2,4
AFD,AfD Solingen,1,1
AFD,AfD-Stadtratsfraktion Hannover,1,15
AFD,AfD Stadtverband Gotha,2,7
AFD,AfD Stuttgart,2,12
AFD,AfD Thüringen,4,35
AFD,AfD Treptow-Köpenick,1,5
AFD,AfD Uckermark,1,5
AFD,AfD Ulm/Alb-Donau kommunal,1,4
AFD,AfD Westerwald,1,7
AFD,AfD Westthüringen,1,3
AFD,AfD Wetterau,1,1
AFD,AfD Wetterau-Ost,1,1
AFD,AfD Wiesbaden,1,3
AFD,AfD Zweibrücken,1,3
AFD,AfD Zwickau,2,2
AFD,AfD Zwickau Alter Gasometer,1,1
AFD,AfD Zwickau Crimmitschau,1,1
AFD,AfD Zwickau Zwickau,1,2
AFD,Alternative für Deutschland AfD Bochum,1,1
AFD,Alternative für Deutschland AfD Freunde,1,2
AFD,Alternative für Deutschland · AfD Köln,2,25
AFD,Alternative für Deutschland · AfD Köln Cologne Pride,2,2
AFD,Alternative für Deutschland / AfD - Kreisverband Chemnitz,1,4
AFD,Alternative für Deutschland - AfD Saarpfalz,1,1
AFD,Alternative für Deutschland AfD - Würselen,1,11
AFD,Alternative für Deutschland: Kreis Steinfurt AfD,1,3
AFD,Alternative für Deutschland Landesverband Berlin - AfD Berlin,3,29
AFD,Alternative für Deutschland Landesverband Berlin - AfD Berlin Es gibt immer eine Alternative,2,2
AFD,Alternative für Deutschland Mecklenburgische Seenplatte - AfD MSE,1,2
AFD,Alternative für Deutschland Mecklenburg-Vorpommern - AfD MV,2,9
AFD,Alternative für Deutschland NRW · AfD NRW,2,14
AFD,Alternative für Deutschland Vorpommern-Rügen - AfD VR,1,1
AFD,Andrea Zürcher - AfD,1,3
AFD,Christian Klingen AfD - Kreisverband Märkisch-Oderland,1,1
AFD,Christine Kirchhoff AfD Hessen,1,1
AFD,Denis Deppe AfD OSL,1,1
AFD,Dietmar Friedhoff AfD Bundestagsabgeordneter,2,16
AFD,Frank-Christian Hansel AfD,1,1
AFD,Freunde der AfD Hochtaunus,1,9
AFD,Freundlich sein zur AfD,1,2
AFD,Gemeinsam für das Grundgesetz AfD Kompakt,1,2
AFD,Georg Pazderski AfD Fraktion TV,1,1
AFD,Gerald Münch Neue AfD-Gruppe. 🇩🇪 🖤❤️💛,1,1
AFD,"Hannes Gnauck - AfD Brandenburg, Germany",1,2
AFD,Hannes Gnauck - AfD Deutschland,1,1
AFD,Hannes Gnauck - AfD Eberswalde,1,3
AFD,Hannes Gnauck - AfD Neubrandenburg,1,2
AFD,"Hannes Gnauck - AfD Templin, Brandenburg, Germany",1,1
AFD,Hannes Gnauck - AfD Uckermark,1,1
AFD,Heiko Scholz - AfD,1,13
AFD,JAfD,1,3
AFD,"Jörg Dornau, AfD",1,2
AFD,Jörg Schock AfD,1,10
AFD,Kristof Heitmann - AfD,1,5
AFD,Landesgruppe Thüringen der AfD-Fraktion im Deutschen Bundestag,1,3
AFD,Leyla Bilge - AfD,1,28
AFD,Lutz Wagner - AfD,1,1
AFD,"Marcus Bühl, AfD MdB",2,4
AFD,Markus Frohnmaier - AfD,2,115
AFD,Pascal Büttner AfD Hamburg-Nord,1,1
AFD,Patrick Röhnke AfD Rheingau Taunus,1,1
AFD,Patrioten gegen Karrieristen in der AfD,1,5
AFD,"Peter Felser, AfD",1,23
AFD,Peter Münch AfD Kompakt,1,3
AFD,Pierre Lamely -AfD,1,10
AFD,Pierre Lamely -AfD Naturpark Hess. Rhön Grabenhöfchen,1,1
AFD,Reimond Hoffmann - AfD,1,1
AFD,Roger Beckamp AfD,2,2
AFD,Russlanddeutsche in der AfD,1,2
AFD,Stephan Schwarz AfD,1,3
AFD,Thomas de Jesus Fernandes - AfD,2,10
AFD,Thomas Ehrhorn AfD,1,3
AFD,Thore Stein - AfD,1,1
AFD,Ulrike Schielke - Ziesing AfD MV,1,1
AFD,Verband der Gründer und Selbstständigen Deutschland e.V. - VGSD AfD,1,2
BUNDIS90,BÜNDNIS 90/DIE GRÜNEN,93,320
BUNDIS90,Bündnis 90/Die Grünen Berlin,10,37
BUNDIS90,BÜNDNIS 90/DIE GRÜNEN NRW,9,18
BUNDIS90,BÜNDNIS 90/DIE GRÜNEN Sachsen-Anhalt,3,10
BUNDIS90,BÜNDNIS 90/DIE GRÜNEN Schleswig-Holstein,4,8
BUNDIS90,Bündnis 90 / Die Grünen Uetersen,1,8
BUNDIS90,BÜNDNIS 90 / DIE GRÜNEN - Kreisverband Potsdam Mittelmark,1,6
BUNDIS90,Bündnis 90 / Die Grünen Leipzig,2,6
BUNDIS90,Bündnis 90/Die Grünen Rd-Eck,1,5
BUNDIS90,Bündnis 90/Die Grünen Bundestagsfraktion,2,4
BUNDIS90,BÜNDNIS 90/DIE GRÜNEN Erzgebirge,1,4
BUNDIS90,BÜNDNIS 90/DIE GRÜNEN Ahrweiler,1,3
BUNDIS90,Bündnis 90/Die Grünen Berlin-Mitte,2,3
BUNDIS90,Bündnis 90/Die Grünen - Emsland-Süd,1,3
BUNDIS90,Bündnis 90/Die Grünen Kiel,1,3
BUNDIS90,BÜNDNIS 90/DIE GRÜNEN Kreisverband Mecklenburgische Seenplatte,1,3
BUNDIS90,Bündnis 90/Die Grünen Treptow-Köpenick,2,3
BUNDIS90,Bündnis 90/Die Grünen Charlottenburg-Wilmersdorf,1,2
BUNDIS90,Bündnis 90/Die Grünen Darmstadt,1,2
BUNDIS90,Bündnis 90 / Die Grünen Dresden,1,2
BUNDIS90,BÜNDNIS 90/DIE GRÜNEN Fraktion in der Region Hannover,1,2
BUNDIS90,Bündnis 90/Die Grünen Gelsenkirchen,1,2
BUNDIS90,Bündnis 90/Die Grünen Kassel,1,2
BUNDIS90,Bündnis 90/Die Grünen Kelheim,1,2
BUNDIS90,Bündnis 90/die Grünen Kreisverband Diepholz,1,2
BUNDIS90,Bündnis 90/ Die Grünen Kreisverband Esslingen,1,2
BUNDIS90,BÜNDNIS 90/DIE GRÜNEN Magdeburg,1,2
BUNDIS90,Bündnis 90/Die Grünen Sächsische Schweiz-Osterzgebirge,1,2
BUNDIS90,Michael Kellner Bundesgeschäftsstelle Bündnis 90/die Grünen,2,2
BUNDIS90,Sara Saahlerm Bündnis 90/Die Grünen Freiburg,1,2
BUNDIS90,Was Los In Lingen ? Bündnis 90/Die Grünen - Emsland-Süd,1,2
BUNDIS90,Bündnis 90/Die Grünen Dortmund,1,1
BUNDIS90,Bündnis90/Die Grünen Frankfurt Bundestagswahl 2021 - Alles ist drin!,1,1
BUNDIS90,Bündnis 90/ Die Grünen Kreisverband Böblingen,1,1
BUNDIS90,Bündnis 90/ Die Grünen Kreisverband Meißen,1,1
BUNDIS90,"Bündnis90/Die Grünen, Kreisverband Zwickau",1,1
BUNDIS90,BÜNDNIS90/ DIE GRÜNEN Leinfelden-Echterdingen,1,1
BUNDIS90,Bündnis 90/Die Grünen Mecklenburg-Vorpommern,1,1
BUNDIS90,Bündnis 90/Die Grünen Mittelsachsen,1,1
BUNDIS90,Bündnis 90/Die Grünen Pankow,1,1
BUNDIS90,BÜNDNIS 90/DIE GRÜNEN Rheinland-Pfalz,1,1
BUNDIS90,BÜNDNIS90/DIE GRÜNEN SCHLESWIG-FLENSBURG,1,1
BUNDIS90,Bündnis 90/Die Grünen Siegen,1,1
BUNDIS90,Bündnis 90 / Die Grünen - Stadtverband Grüne Gießen,1,1
BUNDIS90,Fraktion Bündnis 90/Die Grünen Brandenburg,1,1
BUNDIS90,Tabea Rößner MdB Bündnis 90 / Die Grünen Alzey-Worms Wörrstadt,1,1
CDU,CDU,99,468
CDU,CSU (Christlich-Soziale Union),19,184
CDU,CDU Berlin,9,40
CDU,CDU CDU,6,30
CDU,CDU CSU Europa,2,5
CDU,CSU Oberfranken,2,2
CDU,Angela Erwin CDU Düsseldorf,1,1
CDU,ASP Augsburg - Außen- und Sicherheitspolitischer Arbeitskreis in der CSU,1,1
CDU,CDU Bad Homburg,1,3
CDU,CDU Bad Homburg Bad Homburg vor der Höhe,1,5
CDU,CDU Bernau,1,1
CDU,CDU Bonn,1,4
CDU,CDU Castrop-Rauxel,1,1
CDU,CDU Charlottenburg-Wilmersdorf,1,1
CDU,CDU Charlottenburg-Wilmersdorf Abgeordnetenhaus von Berlin,1,1
CDU,CDU Charlottenburg-Wilmersdorf Autobahn A100,1,1
CDU,CDU Charlottenburg-Wilmersdorf Bahnhof Berlin-Charlottenburg,1,1
CDU,CDU Charlottenburg-Wilmersdorf Berlin,1,1
CDU,CDU Charlottenburg-Wilmersdorf Berliner Stadtmission,1,1
CDU,CDU Charlottenburg-Wilmersdorf Bezirk Charlottenburg-Wilmersdorf,1,1
CDU,CDU Charlottenburg-Wilmersdorf CDU Charlottenburg-Wilmersdorf,1,1
CDU,CDU Charlottenburg-Wilmersdorf Konrad Adenauer Haus,1,1
CDU,CDU Charlottenburg-Wilmersdorf New York City,1,1
CDU,CDU Charlottenburg-Wilmersdorf Rathaus Charlottenburg,1,3
CDU,"CDU Charlottenburg-Wilmersdorf Schmargendorf, Berlin, Germany",1,1
CDU,"CDU Charlottenburg-Wilmersdorf Senatsverwaltung für Bildung, Jugend und Familie",1,1
CDU,CDU Charlottenburg-Wilmersdorf Wilmersdorfer Straße,1,1
CDU,CDU Dinslaken,1,1
CDU,CDU Elbe-Elster,1,1
CDU,CDU Erfurt,1,1
CDU,CDU-Fraktion Berlin,1,1
CDU,CDU-Fraktion im Thüringer Landtag,1,1
CDU,CDU Fraktion Schleswig-Holstein,1,5
CDU,CDU Fraktion Schleswig-Holstein Büsum,1,1
CDU,CDU Frankfurt am Main,1,1
CDU,CDU Gemeindeverband Edemissen,1,4
CDU,CDU Gemeindeverband Kirchhundem,1,6
CDU,CDU Haltern am See,1,4
CDU,CDU Haltern am See Altes Rathaus,1,1
CDU,CDU Haltern am See Haltern am See,1,5
CDU,CDU Hamburg 10 Fragen 10 Antworten,1,1
